Indicator_Num,Indicator_Name,Entry_Params,Exit_Params,Entry_Combinations,Exit_Combinations,Total_Combinations
1,001_trend_sma,period,"tp_pips, sl_pips",20,156,3120
2,002_trend_ema,period,"tp_pips, sl_pips",20,156,3120
3,003_trend_wma,period,"tp_pips, sl_pips",20,156,3120
4,004_trend_dema,period,"tp_pips, sl_pips",20,156,3120
5,005_trend_tema,period,"tp_pips, sl_pips",20,156,3120
6,006_trend_trima,period,"tp_pips, sl_pips",20,156,3120
7,007_trend_kama,"period, fast, slow","tp_pips, sl_pips",2000,156,312000
8,008_trend_hma,period,"tp_pips, sl_pips",20,156,3120
9,009_trend_zlema,period,"tp_pips, sl_pips",20,156,3120
10,010_trend_alma,"period, offset, sigma","tp_pips, sl_pips",3200,156,499200
11,011_trend_jma,"period, phase, power","tp_pips, sl_pips",240,156,37440
12,012_trend_t3,"period, vfactor","tp_pips, sl_pips",400,156,62400
13,013_trend_vidya,"period, cmo_period","tp_pips, sl_pips",400,156,62400
14,014_trend_frama,period,"tp_pips, sl_pips",20,156,3120
15,015_trend_mcginley,"period, constant","tp_pips, sl_pips",400,156,62400
16,016_trend_sinwma,period,"tp_pips, sl_pips",20,156,3120
17,017_trend_vwma,period,"tp_pips, sl_pips",20,156,3120
18,018_trend_tsf,period,"tp_pips, sl_pips",20,156,3120
19,019_trend_linreg,period,"tp_pips, sl_pips",20,156,3120
20,020_trend_lsma,period,"tp_pips, sl_pips",20,156,3120
21,021_trend_mama,"fastlimit, slowlimit","tp_pips, sl_pips",400,156,62400
22,022_trend_smma,period,"tp_pips, sl_pips",20,156,3120
23,023_trend_wilders,period,"tp_pips, sl_pips",20,156,3120
24,024_trend_gma,period,"tp_pips, sl_pips",20,156,3120
25,025_trend_harmonic,period,"tp_pips, sl_pips",20,156,3120
26,026_trend_adx,"period, threshold","tp_pips, sl_pips",400,156,62400
27,027_trend_dmi,"period, threshold","tp_pips, sl_pips",400,156,62400
28,028_trend_aroon,period,"tp_pips, sl_pips",20,156,3120
29,029_trend_aroonosc,"period, threshold","tp_pips, sl_pips",40,156,6240
30,030_trend_psar,"af_start, af_increment, af_max","tp_pips, sl_pips",8000,156,1248000
31,031_trend_supertrend,"period, threshold","tp_pips, sl_pips",400,156,62400
32,032_trend_vortex,period,"tp_pips, sl_pips",20,156,3120
33,033_trend_massindex,"period, fast_period, slow_period, threshold","tp_pips, sl_pips",160000,156,24960000
34,034_trend_qstick,"period, threshold","tp_pips, sl_pips",400,156,62400
35,035_trend_tii,"period, threshold","tp_pips, sl_pips",400,156,62400
36,036_trend_cci,"period, overbought, oversold","tp_pips, sl_pips",800,156,124800
37,037_trend_roc,"period, threshold","tp_pips, sl_pips",40,156,6240
38,038_trend_momentum,"period, threshold","tp_pips, sl_pips",400,156,62400
39,039_trend_williams_r,"period, overbought, oversold","tp_pips, sl_pips",80,156,12480
40,040_trend_stochastic,"period, smooth_k, smooth_d, overbought, oversold","tp_pips, sl_pips",512000,156,79872000
41,041_trend_rsi,"period, overbought, oversold","tp_pips, sl_pips",8000,156,1248000
42,042_trend_macd,"fast_period, slow_period, signal_period","tp_pips, sl_pips",6800,156,1060800
43,043_trend_bollinger,"period, multiplier","tp_pips, sl_pips",100,156,15600
44,044_trend_atr,"period, threshold","tp_pips, sl_pips",400,156,62400
45,045_trend_keltner,"period, threshold","tp_pips, sl_pips",400,156,62400
46,046_trend_donchian,period,"tp_pips, sl_pips",20,156,3120
47,047_volume_obv,signal_period,"tp_pips, sl_pips",20,156,3120
48,048_volume_mfi,"period, overbought, oversold","tp_pips, sl_pips",8000,156,1248000
49,049_volume_cmf,"period, threshold","tp_pips, sl_pips",400,156,62400
50,050_trend_ichimoku,"tenkan_period, kijun_period, senkou_period","tp_pips, sl_pips",6400,156,998400
51,051_volume_vwap,"reset_period, std_multiplier","tp_pips, sl_pips",6,156,936
52,052_volume_force_index,period,"tp_pips, sl_pips",20,156,3120
53,053_volume_ad,signal_period,"tp_pips, sl_pips",20,156,3120
54,054_trend_ultimate_osc,,"tp_pips, sl_pips",1,156,156
