Time,open,high,low,close,volume
2020-01-01,1.12133,1.12223,1.12123,1.12189,5075.3425
2020-01-02,1.1219,1.12246,1.11637,1.11709,769657.86314
2020-01-03,1.11709,1.11799,1.1125,1.11587,400083.4854
2020-01-05,1.11672,1.11679,1.11593,1.11606,8549.33
2020-01-06,1.11604,1.12056,1.11572,1.11955,276704.77955
2020-01-07,1.11955,1.11971,1.11336,1.11542,304422.28526
2020-01-08,1.1154,1.11684,1.11017,1.1113,390039.19162
2020-01-09,1.11131,1.11205,1.10925,1.11094,283764.16598
2020-01-10,1.11094,1.11292,1.10851,1.11211,294085.01494
2020-01-12,1.11162,1.11213,1.11133,1.11163,3917.868
2020-01-13,1.11162,1.11469,1.11126,1.11345,238515.31809
2020-01-14,1.11346,1.11445,1.11045,1.11277,276363.3676
2020-01-15,1.11277,1.11634,1.11186,1.11525,292763.46974
2020-01-16,1.11525,1.11728,1.1128,1.1137,274749.18003
2020-01-17,1.1137,1.11426,1.10862,1.10905,250096.19282
2020-01-19,1.10925,1.10949,1.10891,1.10947,6992.14189
2020-01-20,1.10946,1.11023,1.10767,1.10963,181381.18605
2020-01-21,1.10964,1.1118,1.1081,1.10852,258499.01429
2020-01-22,1.10853,1.10984,1.10701,1.10958,263293.39489
2020-01-23,1.10957,1.11088,1.10364,1.10555,335522.6168
2020-01-24,1.10555,1.10617,1.10196,1.10252,242878.95549
2020-01-26,1.10337,1.10343,1.10246,1.10247,23739.09208
2020-01-27,1.10247,1.10377,1.10098,1.10195,254957.28041
2020-01-28,1.10195,1.10252,1.09979,1.10222,241332.3554
2020-01-29,1.10222,1.10277,1.09923,1.10139,245313.73033
2020-01-30,1.1014,1.10394,1.10069,1.10287,281485.36892
2020-01-31,1.10286,1.10957,1.10169,1.10948,285113.45553
2020-02-02,1.10948,1.10948,1.10818,1.10892,8544.405
2020-02-03,1.10892,1.10892,1.10359,1.10624,269512.58799
2020-02-04,1.10625,1.10642,1.10329,1.10447,230493.97557
2020-02-05,1.1045,1.1048,1.09938,1.10005,248332.14139
2020-02-06,1.10005,1.1014,1.09645,1.09808,197152.44536
2020-02-07,1.0981,1.0985,1.09421,1.09457,253653.92515
2020-02-09,1.09459,1.09508,1.09428,1.09493,7275.515
2020-02-10,1.09492,1.09576,1.09077,1.09103,205751.81044
2020-02-11,1.09103,1.09248,1.08913,1.09191,191355.62014
2020-02-12,1.0919,1.09257,1.08655,1.08757,620964.22677
2020-02-13,1.08757,1.08888,1.08342,1.08414,906211.65989
2020-02-14,1.08416,1.08613,1.08273,1.08315,722141.46447
2020-02-16,1.08417,1.08418,1.08361,1.08413,6668.475
2020-02-17,1.08413,1.0851,1.08292,1.08368,213052.00318
2020-02-18,1.08367,1.08373,1.07855,1.0795,301663.70258
2020-02-19,1.0795,1.08117,1.07823,1.08098,212138.40746
2020-02-20,1.08098,1.08212,1.0778,1.07877,289598.08082
2020-02-21,1.07878,1.08636,1.07872,1.08469,328019.75562
2020-02-23,1.08154,1.0842,1.08139,1.08386,15264.28851
2020-02-24,1.08387,1.08721,1.08052,1.08487,345192.55571
2020-02-25,1.08486,1.08903,1.08301,1.08799,359794.40271
2020-02-26,1.08797,1.09089,1.0855,1.08866,378642.38217
