Time,open,high,low,close,volume
2020-01-01,1.3249,1.32616,1.32473,1.32501,25902.52001
2020-01-02,1.32502,1.32666,1.31156,1.31472,544609.93016
2020-01-03,1.31472,1.31604,1.30537,1.30816,352546.90019
2020-01-05,1.30879,1.30879,1.30638,1.30775,13809.48
2020-01-06,1.30775,1.31794,1.30643,1.31716,295403.72022
2020-01-07,1.31716,1.32125,1.30951,1.31142,355507.55027
2020-01-08,1.31143,1.31698,1.30804,1.31058,402874.66022
2020-01-09,1.31055,1.31239,1.3013,1.30697,364022.59022
2020-01-10,1.30696,1.30971,1.30428,1.30636,295685.08999
2020-01-12,1.3035,1.30446,1.30326,1.30437,7400.669980000001
2020-01-13,1.30438,1.30452,1.29612,1.29865,299484.56003
2020-01-14,1.29866,1.30333,1.29546,1.30215,306384.32015
2020-01-15,1.30215,1.30585,1.29854,1.304,283154.81002
2020-01-16,1.30402,1.30832,1.30255,1.30766,282640.52991
2020-01-17,1.30764,1.31186,1.30064,1.30097,295557.96992
2020-01-19,1.29942,1.30078,1.29942,1.30058,8810.76
2020-01-20,1.30059,1.30141,1.29622,1.30041,192128.17005
2020-01-21,1.30043,1.30836,1.29955,1.30456,277492.18013
2020-01-22,1.30457,1.31529,1.30349,1.31441,327188.80041
2020-01-23,1.31441,1.31514,1.3097,1.31191,270958.11021
2020-01-24,1.31191,1.31747,1.3057,1.30739,295666.39049
2020-01-26,1.3081,1.30817,1.30611,1.30611,16424.23002
2020-01-27,1.30614,1.31054,1.30398,1.30594,234309.53021
2020-01-28,1.30594,1.30653,1.29754,1.30236,235426.88019
2020-01-29,1.30235,1.30278,1.29896,1.30214,195836.72007
2020-01-30,1.30214,1.31102,1.29778,1.30852,299059.38035
2020-01-31,1.30852,1.32098,1.30841,1.32055,283950.30009
2020-02-02,1.31777,1.31844,1.31744,1.31812,12258.93
2020-02-03,1.31812,1.31826,1.29828,1.29969,329333.63018
2020-02-04,1.2997,1.30468,1.29415,1.30307,323888.44011
2020-02-05,1.30308,1.307,1.29564,1.29955,328176.65988
2020-02-06,1.29955,1.29988,1.29213,1.29306,266908.85006
2020-02-07,1.29299,1.29591,1.2882,1.28855,303978.96017
2020-02-09,1.28914,1.28946,1.28851,1.28897,11641.58
2020-02-10,1.28899,1.29463,1.28721,1.2916,268135.39024
2020-02-11,1.2916,1.29683,1.28944,1.29564,264163.45015
