Time,open,high,low,close,volume
2020-01-01,1.29856,1.29915,1.29751,1.29763,7065.73
2020-01-02,1.29763,1.30083,1.29689,1.29843,251447.54026
2020-01-03,1.29844,1.3008,1.29612,1.30007,213291.38007
2020-01-05,1.29882,1.29903,1.29858,1.29896,7365.740009999999
2020-01-06,1.29894,1.299,1.29604,1.29643,185743.30004
2020-01-07,1.29642,1.30297,1.2957,1.30014,190335.6701
2020-01-08,1.30013,1.30439,1.29766,1.30363,246176.13013
2020-01-09,1.30366,1.3105,1.30263,1.30633,207725.53006
2020-01-10,1.30631,1.30757,1.3029,1.30506,190832.21996
2020-01-12,1.30537,1.30671,1.30534,1.3067,6128.45
2020-01-13,1.30671,1.30678,1.30316,1.30568,173325.91008
2020-01-14,1.30568,1.30797,1.3047,1.3068,168868.25
2020-01-15,1.30679,1.30783,1.30351,1.30404,180490.79022
2020-01-16,1.30404,1.30565,1.30324,1.30416,171179.30002
2020-01-17,1.30416,1.30753,1.30341,1.30654,154417.33008
2020-01-19,1.30601,1.30685,1.30601,1.30649,11005.55002
2020-01-20,1.3065,1.30724,1.30439,1.30458,114948.93004
2020-01-21,1.30458,1.30801,1.30448,1.30741,180410.13006
2020-01-22,1.30741,1.31527,1.30361,1.31424,198436.12001
2020-01-23,1.31425,1.31717,1.31242,1.31279,204747.86004
2020-01-24,1.31281,1.31529,1.31187,1.31462,165558.06006
2020-01-26,1.3155,1.31627,1.31501,1.31618,14223.51001
2020-01-27,1.31618,1.31998,1.3148,1.31882,201886.96003
2020-01-28,1.31882,1.32058,1.31546,1.31642,168924.66003
2020-01-29,1.31643,1.32098,1.31588,1.31984,157566.19002
2020-01-30,1.31984,1.32267,1.31906,1.32125,193886.55007
2020-01-31,1.32126,1.32537,1.31955,1.32374,216120.20012
2020-02-02,1.32404,1.32449,1.32382,1.32419,8161.22001
2020-02-03,1.32419,1.33039,1.32319,1.32959,208313.55021
2020-02-04,1.32958,1.33021,1.32639,1.32834,189111.16008
2020-02-05,1.32835,1.33028,1.3263,1.32864,181056.17005
2020-02-06,1.32863,1.33093,1.32705,1.32875,176108.1901
2020-02-07,1.32875,1.33211,1.32784,1.3306,241861.0004
2020-02-09,1.33048,1.3312,1.33045,1.3312,9327.16
2020-02-10,1.33119,1.33295,1.32884,1.33183,196729.64025
2020-02-11,1.33181,1.33201,1.32767,1.32905,144426.86006
2020-02-12,1.32906,1.33028,1.3236,1.32564,1008649.68689
2020-02-13,1.32567,1.32713,1.32404,1.32664,1521029.53331
2020-02-14,1.32663,1.32692,1.3236,1.32525,844048.02958
2020-02-16,1.32549,1.32558,1.32449,1.32452,5967.05
2020-02-17,1.32451,1.32504,1.32252,1.32376,95550.61
2020-02-18,1.32377,1.32786,1.32346,1.32545,155368.32001
2020-02-19,1.32545,1.32563,1.32153,1.32222,143036.78002
2020-02-20,1.32221,1.32691,1.32119,1.32614,137374.25
2020-02-21,1.32614,1.32687,1.32022,1.32239,178033.70001
2020-02-23,1.32525,1.32591,1.32453,1.32537,17640.04
2020-02-24,1.32537,1.33076,1.32478,1.32876,221884.16001
2020-02-25,1.32875,1.33059,1.32674,1.32803,234195.74017
2020-02-26,1.32804,1.33472,1.32715,1.3344,257429.22023
2020-02-27,1.33441,1.33946,1.33168,1.33883,277166.19013
2020-02-28,1.33882,1.34647,1.3386,1.3401,377724.26012
2020-03-01,1.34385,1.34404,1.34048,1.34059,12715.36001
2020-03-02,1.34057,1.34156,1.33151,1.3325,350202.86026
2020-03-03,1.33251,1.33912,1.33193,1.33776,338942.44035
2020-03-04,1.33775,1.34315,1.33293,1.33866,251468.08025
2020-03-05,1.33865,1.34386,1.33865,1.33923,243738.42034
2020-03-06,1.33926,1.34396,1.33797,1.3421,313987.98029
2020-03-08,1.35499,1.36278,1.35421,1.36245,43579.98002
2020-03-09,1.36244,1.37596,1.35179,1.36618,494496.39065
2020-03-10,1.3662,1.37962,1.36093,1.37326,413261.29068
2020-03-11,1.37325,1.37948,1.36816,1.37736,353757.56098
2020-03-12,1.37734,1.3962,1.37079,1.39453,469988.87129
2020-03-13,1.39452,1.39955,1.37823,1.3805,546260.78215
2020-03-15,1.38907,1.38907,1.37321,1.37881,76774.39021
2020-03-16,1.37881,1.40196,1.37881,1.40126,619660.03292
2020-03-17,1.40122,1.42771,1.39609,1.42427,506968.0422
2020-03-18,1.42424,1.46516,1.4167,1.44823,568042.40175
2020-03-19,1.44812,1.46686,1.4421,1.45008,656597.14176
2020-03-20,1.45003,1.453,1.41498,1.43372,648784.1418
2020-03-22,1.43606,1.44891,1.43538,1.44651,25706.10007
2020-03-23,1.44654,1.45602,1.43363,1.44798,827697.95241
2020-03-24,1.44798,1.45321,1.43749,1.44405,541472.68138
2020-03-25,1.4441,1.44618,1.41783,1.42225,534852.45214
2020-03-26,1.42226,1.42763,1.40103,1.40421,441117.25171
2020-03-27,1.4042,1.41546,1.3922,1.39821,473175.44177
