Time,open,high,low,close,volume
2020-01-01,0.96705,0.9693,0.96578,0.96778,2026.76
2020-01-02,0.96778,0.97331,0.96772,0.97148,189192.78985
2020-01-03,0.97145,0.97438,0.96883,0.97261,159398.78003
2020-01-05,0.97078,0.97159,0.97056,0.97158,8959.10001
2020-01-06,0.97157,0.97168,0.96765,0.96857,146029.53001
2020-01-07,0.96857,0.97297,0.96835,0.96879,157068.49002
2020-01-08,0.9688,0.97398,0.96654,0.97331,245335.14011
2020-01-09,0.97331,0.97483,0.97115,0.9732,147426.09
2020-01-10,0.9732,0.97624,0.97202,0.97267,113745.65
2020-01-12,0.97347,0.97369,0.97215,0.97322,6662.87
2020-01-13,0.97323,0.97364,0.96942,0.97096,104758.66001
2020-01-14,0.97094,0.97135,0.96656,0.96716,141720.83
2020-01-15,0.96717,0.96803,0.96305,0.96376,127377.80999
2020-01-16,0.96378,0.96537,0.96131,0.96501,115218.18
2020-01-17,0.96501,0.96957,0.96455,0.96785,123712.85
2020-01-19,0.96764,0.96829,0.9676,0.9682,9858.50998
2020-01-20,0.9682,0.96995,0.96762,0.96843,86777.04999
2020-01-21,0.96843,0.96903,0.96613,0.96886,117370.54
2020-01-22,0.96887,0.97294,0.96737,0.96742,124990.63001
2020-01-23,0.96744,0.97038,0.96689,0.96962,145740.17008
2020-01-24,0.96961,0.97181,0.9692,0.9713,113632.3
2020-01-26,0.97063,0.97085,0.96916,0.97012,23810.93008
2020-01-27,0.97013,0.97193,0.96819,0.96991,138072.26004
2020-01-28,0.9699,0.97415,0.96786,0.97294,106581.27
2020-01-29,0.97294,0.97667,0.97267,0.97325,119245.03
2020-01-30,0.97325,0.97335,0.96799,0.96951,160231.66002
2020-01-31,0.96949,0.97132,0.96293,0.96342,172530.63004
2020-02-02,0.96376,0.96408,0.96297,0.96343,10712.80998
2020-02-03,0.96344,0.96725,0.963,0.96586,183872.38007
2020-02-04,0.96586,0.97044,0.96568,0.96932,146340.98001
2020-02-05,0.96932,0.97477,0.96781,0.97346,161583.54003
2020-02-06,0.97346,0.97566,0.97311,0.9747,140587.94002
2020-02-07,0.97467,0.97813,0.97398,0.97776,175186.39005
2020-02-09,0.97703,0.97786,0.97633,0.97664,15436.83999
2020-02-10,0.97666,0.97839,0.9764,0.97742,176047.93013
2020-02-11,0.97742,0.97891,0.97512,0.97576,141285.25005
2020-02-12,0.97581,0.97873,0.97412,0.97769,413889.02011
2020-02-13,0.9777,0.97959,0.97608,0.97906,512985.80907
2020-02-14,0.97909,0.98223,0.97907,0.98219,265058.97991
2020-02-16,0.98182,0.98218,0.98155,0.98174,4858.23
2020-02-17,0.98174,0.98271,0.98057,0.98077,82374.02
2020-02-18,0.98076,0.98394,0.97967,0.98322,141007.93002
2020-02-19,0.98324,0.98448,0.98263,0.98368,130151.41002
2020-02-20,0.98369,0.98487,0.98155,0.98383,143601.84008
2020-02-21,0.98382,0.98406,0.97711,0.9784,158955.33001
2020-02-23,0.98079,0.98083,0.97836,0.97893,12101.71999
2020-02-24,0.97889,0.98161,0.9765,0.97995,231787.46007
2020-02-25,0.97993,0.9805,0.97511,0.97614,245112.91017
2020-02-26,0.97617,0.97789,0.97287,0.97649,253701.83013
2020-02-27,0.97649,0.97654,0.96751,0.96884,273813.62008
2020-02-28,0.96884,0.96959,0.96103,0.965,366046.84015
2020-03-01,0.9633,0.96455,0.962,0.96398,12803.92001
2020-03-02,0.96396,0.96552,0.95437,0.95839,325158.10015
2020-03-03,0.95839,0.95971,0.95156,0.95579,355033.68036
2020-03-04,0.95578,0.95972,0.95327,0.95671,208862.05014
2020-03-05,0.95663,0.95718,0.94468,0.94592,233688.22003
2020-03-06,0.94592,0.94669,0.93184,0.93759,430953.54041
2020-03-08,0.93226,0.93412,0.92667,0.92736,30029.08
2020-03-09,0.92739,0.93199,0.91832,0.92841,447230.89037
2020-03-10,0.92846,0.94116,0.92673,0.93694,479380.8709
2020-03-11,0.93693,0.9402,0.93249,0.93903,366860.33066
2020-03-12,0.93905,0.95522,0.93215,0.94443,531973.66187
2020-03-13,0.94442,0.95697,0.94228,0.95164,587507.10178
2020-03-15,0.95217,0.95238,0.94436,0.94654,95372.22032
2020-03-16,0.94654,0.95262,0.93922,0.94744,756351.19344
2020-03-17,0.94743,0.96489,0.94738,0.95979,679840.6727
