Indicator_Num,Indicator,Symbol,Timeframe,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,TP_Pips,SL_Pips,Spread_Pips,Slippage_Pips,Entry_period,Total_Return,Max_Drawdown,Daily_Drawdown,Win_Rate_%,Total_Trades,Winning_Trades,Losing_Trades,Avg_Win,Avg_Loss,Highest_Win,Highest_Loss,Gross_Profit,Commission,Net_Profit,Profit_Factor,Sharpe_Ratio
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,2.000000,0.500000,NA,0.027200,0.089900,0.000000,45.360000,1111,504,607,0.180000,-0.140000,1.130000,-0.720000,90.750000,3.330000,2.720000,1.071000,0.738000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,2.000000,0.500000,NA,0.031100,0.090900,0.000000,50.990000,1014,517,497,0.180000,-0.180000,1.130000,-0.870000,93.590000,3.040000,3.110000,1.070000,0.707000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2.000000,0.500000,NA,0.061600,0.085600,0.000000,39.010000,1046,408,638,0.240000,-0.140000,1.130000,-0.720000,99.260000,3.140000,6.160000,1.103000,1.031000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,2.000000,0.500000,NA,0.082300,0.083000,0.000000,44.540000,934,416,518,0.250000,-0.180000,1.130000,-0.870000,102.190000,2.800000,8.230000,1.121000,1.156000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,2.000000,0.500000,NA,0.091300,0.078600,0.000000,48.830000,852,416,436,0.250000,-0.210000,1.130000,-0.870000,102.750000,2.560000,9.130000,1.128000,1.189000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,2.000000,0.500000,NA,0.075500,0.088100,0.000000,52.470000,789,414,375,0.250000,-0.250000,1.130000,-0.910000,101.890000,2.370000,7.550000,1.108000,0.984000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,2.000000,0.500000,NA,0.038500,0.078400,0.000000,32.640000,956,312,644,0.320000,-0.140000,1.130000,-0.720000,98.760000,2.870000,3.850000,1.073000,0.684000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,2.000000,0.500000,NA,0.067000,0.071200,0.000000,37.750000,853,322,531,0.320000,-0.170000,1.130000,-0.870000,102.100000,2.560000,6.700000,1.100000,0.903000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,2.000000,0.500000,NA,0.060900,0.083600,0.000000,41.880000,776,325,451,0.320000,-0.210000,1.130000,-0.870000,103.470000,2.330000,6.090000,1.089000,0.793000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,2.000000,0.500000,NA,0.059100,0.084000,0.000000,45.440000,713,324,389,0.320000,-0.240000,1.130000,-0.910000,103.000000,2.140000,5.910000,1.085000,0.745000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,2.000000,0.500000,NA,0.079400,0.084700,0.000000,49.310000,649,320,329,0.320000,-0.280000,1.130000,-0.910000,102.060000,1.950000,7.940000,1.107000,0.894000
1,001_trend_sma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,10,2.000000,0.500000,NA,0.075800,0.067900,0.000000,29.140000,875,255,620,0.390000,-0.140000,1.130000,-0.720000,98.580000,2.620000,7.580000,1.115000,0.977000
