Indicator_Num,Indicator,Symbol,Timeframe,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,TP_Pips,SL_Pips,Spread_Pips,Slippage_Pips,Entry_period,Total_Return,Max_Drawdown,Daily_Drawdown,Win_Rate_%,Total_Trades,Winning_Trades,Losing_Trades,Avg_Win,Avg_Loss,Highest_Win,Highest_Loss,Gross_Profit,Commission,Net_Profit,Profit_Factor,Sharpe_Ratio
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,2.000000,0.500000,NA,0.010800,0.088300,0.000000,45.230000,1311,593,718,0.180000,-0.140000,1.130000,-0.720000,106.220000,3.930000,1.080000,1.050000,0.560000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,2.000000,0.500000,NA,-0.001600,0.091400,0.000000,50.420000,1188,599,589,0.180000,-0.180000,1.130000,-0.870000,107.000000,3.560000,-0.160000,1.033000,0.364000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2.000000,0.500000,NA,0.035900,0.099100,0.000000,38.040000,1196,455,741,0.250000,-0.140000,1.130000,-0.720000,111.760000,3.590000,3.590000,1.069000,0.738000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,2.000000,0.500000,NA,0.035000,0.099100,0.000000,43.210000,1067,461,606,0.250000,-0.180000,1.130000,-0.870000,113.340000,3.200000,3.500000,1.063000,0.660000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,2.000000,0.500000,NA,0.073200,0.090400,0.000000,48.210000,952,459,493,0.250000,-0.210000,1.130000,-0.870000,113.740000,2.860000,7.320000,1.098000,0.967000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,2.000000,0.500000,NA,0.095100,0.089700,0.000000,52.760000,870,459,411,0.250000,-0.250000,1.130000,-0.910000,113.520000,2.610000,9.510000,1.120000,1.128000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,2.000000,0.500000,NA,0.057000,0.084200,0.000000,32.840000,1084,356,728,0.320000,-0.140000,1.130000,-0.720000,112.540000,3.250000,5.700000,1.086000,0.859000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,2.000000,0.500000,NA,0.035800,0.098900,0.000000,37.140000,964,358,606,0.320000,-0.180000,1.130000,-0.870000,112.930000,2.890000,3.580000,1.061000,0.598000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,2.000000,0.500000,NA,0.058900,0.093400,0.000000,41.750000,855,357,498,0.320000,-0.210000,1.130000,-0.870000,113.550000,2.560000,5.890000,1.080000,0.753000
3,003_trend_wma,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,2.000000,0.500000,NA,0.098900,0.089800,0.000000,46.430000,771,358,413,0.320000,-0.250000,1.130000,-0.910000,113.840000,2.310000,9.890000,1.120000,1.071000
