Indicator_Num,Indicator,Symbol,Timeframe,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,TP_Pips,SL_Pips,Spread_Pips,Slippage_Pips,Entry_period,Total_Return,Max_Drawdown,Daily_Drawdown,Win_Rate_%,Total_Trades,Winning_Trades,Losing_Trades,Avg_Win,Avg_Loss,Highest_Win,Highest_Loss,Gross_Profit,Commission,Net_Profit,Profit_Factor,Sharpe_Ratio
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,2.000000,0.500000,NA,-0.113100,0.095000,0.000000,43.670000,1555,679,876,0.180000,-0.140000,1.130000,-0.810000,119.030000,4.670000,-11.310000,0.947000,-0.684000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,2.000000,0.500000,NA,-0.092300,0.085000,0.000000,49.530000,1389,688,701,0.180000,-0.180000,1.130000,-0.830000,121.290000,4.170000,-9.230000,0.960000,-0.495000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2.000000,0.500000,NA,-0.060400,0.070800,0.000000,36.470000,1393,508,885,0.250000,-0.140000,1.130000,-0.810000,125.510000,4.180000,-6.040000,0.985000,-0.176000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,2.000000,0.500000,NA,-0.037100,0.065400,0.000000,41.860000,1216,509,707,0.250000,-0.180000,1.130000,-0.830000,126.500000,3.650000,-3.710000,1.000000,-0.005000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,2.000000,0.500000,NA,-0.009800,0.059000,0.000000,46.610000,1090,508,582,0.250000,-0.210000,1.130000,-0.830000,126.740000,3.270000,-0.980000,1.018000,0.203000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,2.000000,0.500000,NA,-0.038000,0.068100,0.000000,50.150000,1001,502,499,0.250000,-0.250000,1.130000,-0.830000,124.080000,3.000000,-3.800000,0.994000,-0.069000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,2.000000,0.500000,NA,-0.004700,0.069200,0.000000,31.960000,1236,395,841,0.320000,-0.140000,1.130000,-0.810000,124.800000,3.710000,-0.470000,1.027000,0.292000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,2.000000,0.500000,NA,-0.013700,0.073200,0.000000,36.760000,1088,400,688,0.310000,-0.180000,1.130000,-0.830000,125.570000,3.260000,-1.370000,1.015000,0.165000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,2.000000,0.500000,NA,0.003600,0.074700,0.000000,41.240000,965,398,567,0.310000,-0.210000,1.130000,-0.830000,124.620000,2.900000,0.360000,1.027000,0.278000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,2.000000,0.500000,NA,-0.004800,0.068700,0.000000,44.670000,882,394,488,0.310000,-0.250000,1.130000,-0.830000,123.950000,2.650000,-0.480000,1.018000,0.181000
4,004_trend_dema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,2.000000,0.500000,NA,-0.011100,0.065700,0.000000,47.380000,821,389,432,0.320000,-0.280000,1.130000,-0.830000,123.120000,2.460000,-1.110000,1.011000,0.112000
