Indicator_Num,Indicator,Symbol,Timeframe,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,TP_Pips,SL_Pips,Spread_Pips,Slippage_Pips,Entry_period,Total_Return,Max_Drawdown,Daily_Drawdown,Win_Rate_%,Total_Trades,Winning_Trades,Losing_Trades,Avg_Win,Avg_Loss,Highest_Win,Highest_Loss,Gross_Profit,Commission,Net_Profit,Profit_Factor,Sharpe_Ratio
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,2.000000,0.500000,NA,-0.091400,0.080700,0.000000,43.920000,1742,765,977,0.180000,-0.140000,1.130000,-0.810000,135.060000,5.230000,-9.140000,0.972000,-0.381000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,2.000000,0.500000,NA,-0.094700,0.085100,0.000000,49.010000,1563,766,797,0.180000,-0.180000,1.130000,-0.830000,136.150000,4.690000,-9.470000,0.966000,-0.444000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2.000000,0.500000,NA,-0.097200,0.088500,0.000000,36.030000,1543,556,987,0.250000,-0.140000,1.130000,-0.810000,136.970000,4.630000,-9.720000,0.964000,-0.460000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,2.000000,0.500000,NA,-0.086100,0.080500,0.000000,41.040000,1367,561,806,0.250000,-0.180000,1.130000,-0.830000,138.860000,4.100000,-8.610000,0.969000,-0.390000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,2.000000,0.500000,NA,-0.061700,0.074400,0.000000,45.630000,1225,559,666,0.250000,-0.210000,1.130000,-0.830000,138.530000,3.680000,-6.170000,0.982000,-0.211000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,2.000000,0.500000,NA,-0.037800,0.068700,0.000000,49.820000,1100,548,552,0.250000,-0.250000,1.130000,-0.830000,136.030000,3.300000,-3.780000,0.996000,-0.040000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,2.000000,0.500000,NA,-0.039900,0.086000,0.000000,31.640000,1362,431,931,0.320000,-0.150000,1.130000,-0.810000,135.860000,4.090000,-3.990000,1.001000,0.009000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,2.000000,0.500000,NA,-0.029800,0.073900,0.000000,36.350000,1205,438,767,0.320000,-0.180000,1.130000,-0.830000,138.360000,3.620000,-2.980000,1.005000,0.053000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,2.000000,0.500000,NA,-0.002300,0.078700,0.000000,40.780000,1074,438,636,0.320000,-0.210000,1.130000,-0.830000,138.800000,3.220000,-0.230000,1.022000,0.243000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,2.000000,0.500000,NA,0.002700,0.072500,0.000000,44.420000,968,430,538,0.320000,-0.250000,1.130000,-0.830000,136.610000,2.900000,0.270000,1.024000,0.253000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,2.000000,0.500000,NA,0.009400,0.074800,0.000000,47.360000,889,421,468,0.320000,-0.280000,1.130000,-0.830000,134.060000,2.670000,0.940000,1.028000,0.285000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,10,2.000000,0.500000,NA,0.001400,0.079900,0.000000,27.910000,1222,341,881,0.390000,-0.150000,1.130000,-0.810000,131.990000,3.670000,0.140000,1.030000,0.314000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,15,2.000000,0.500000,NA,-0.025500,0.070500,0.000000,31.680000,1067,338,729,0.390000,-0.180000,1.130000,-0.830000,131.820000,3.200000,-2.550000,1.005000,0.052000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,20,2.000000,0.500000,NA,-0.020800,0.078800,0.000000,35.750000,937,335,602,0.390000,-0.220000,1.130000,-0.830000,130.170000,2.810000,-2.080000,1.006000,0.057000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,25,2.000000,0.500000,NA,-0.003200,0.074100,0.000000,39.380000,843,332,511,0.390000,-0.250000,1.130000,-0.830000,128.720000,2.530000,-0.320000,1.017000,0.171000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,30,2.000000,0.500000,NA,0.001800,0.070700,0.000000,42.340000,777,329,448,0.390000,-0.280000,1.130000,-0.830000,127.460000,2.330000,0.180000,1.020000,0.193000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,40,2.000000,0.500000,NA,0.042000,0.078000,0.000000,49.050000,630,309,321,0.390000,-0.350000,1.130000,-0.960000,119.500000,1.890000,4.200000,1.054000,0.457000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,10,2.000000,0.500000,NA,0.006500,0.077600,0.000000,24.870000,1126,280,846,0.450000,-0.140000,1.130000,-0.810000,125.940000,3.380000,0.650000,1.033000,0.324000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,15,2.000000,0.500000,NA,0.001100,0.062600,0.000000,28.950000,974,282,692,0.450000,-0.180000,1.130000,-0.830000,127.020000,2.920000,0.110000,1.024000,0.237000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,2.000000,0.500000,NA,-0.021100,0.068900,0.000000,32.350000,850,275,575,0.450000,-0.210000,1.130000,-0.830000,124.040000,2.550000,-2.110000,1.004000,0.034000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,25,2.000000,0.500000,NA,-0.007600,0.071500,0.000000,35.950000,765,275,490,0.450000,-0.250000,1.130000,-0.870000,123.640000,2.290000,-0.760000,1.013000,0.116000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,30,2.000000,0.500000,NA,-0.009700,0.070100,0.000000,38.410000,703,270,433,0.450000,-0.280000,1.130000,-0.870000,121.320000,2.110000,-0.970000,1.009000,0.085000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,40,2.000000,0.500000,NA,0.050600,0.070200,0.000000,45.870000,569,261,308,0.450000,-0.360000,1.130000,-0.960000,116.570000,1.710000,5.060000,1.062000,0.498000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,2.000000,0.500000,NA,0.006600,0.083300,0.000000,48.990000,496,243,253,0.450000,-0.420000,1.130000,-0.960000,109.400000,1.490000,0.660000,1.020000,0.156000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,10,2.000000,0.500000,NA,-0.041600,0.090200,0.000000,20.730000,955,198,757,0.550000,-0.150000,1.130000,-0.810000,109.020000,2.870000,-4.160000,0.988000,-0.100000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,15,2.000000,0.500000,NA,-0.029000,0.066200,0.000000,24.570000,814,200,614,0.550000,-0.180000,1.130000,-0.830000,110.150000,2.440000,-2.900000,0.996000,-0.035000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,20,2.000000,0.500000,NA,-0.059600,0.081400,0.000000,27.670000,712,197,515,0.550000,-0.220000,1.130000,-0.830000,108.920000,2.140000,-5.960000,0.966000,-0.282000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,25,2.000000,0.500000,NA,-0.016400,0.075400,0.000000,31.310000,626,196,430,0.560000,-0.250000,1.130000,-0.870000,108.910000,1.880000,-1.640000,1.002000,0.018000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,30,2.000000,0.500000,NA,-0.051200,0.097400,0.000000,32.810000,570,187,383,0.560000,-0.280000,1.130000,-0.870000,103.790000,1.710000,-5.120000,0.968000,-0.246000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,40,2.000000,0.500000,NA,0.013800,0.078500,0.000000,39.620000,472,187,285,0.560000,-0.360000,1.130000,-0.960000,104.070000,1.420000,1.380000,1.028000,0.200000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,50,2.000000,0.500000,NA,0.043200,0.084600,0.000000,44.500000,400,178,222,0.560000,-0.430000,1.130000,-0.960000,99.920000,1.200000,4.320000,1.059000,0.391000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,60,2.000000,0.500000,NA,0.028300,0.084200,0.000000,47.630000,359,171,188,0.560000,-0.490000,1.070000,-0.960000,96.120000,1.080000,2.830000,1.042000,0.276000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10,2.000000,0.500000,NA,-0.025700,0.094500,0.000000,17.220000,778,134,644,0.710000,-0.150000,1.130000,-0.810000,95.760000,2.330000,-2.570000,0.998000,-0.017000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,15,2.000000,0.500000,NA,0.043400,0.068400,0.000000,21.430000,658,141,517,0.710000,-0.180000,1.130000,-0.830000,100.800000,1.970000,4.340000,1.067000,0.461000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,2.000000,0.500000,NA,0.026000,0.086700,0.000000,24.310000,580,141,439,0.710000,-0.220000,1.130000,-0.830000,100.680000,1.740000,2.600000,1.045000,0.314000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,25,2.000000,0.500000,NA,0.039200,0.087700,0.000000,27.130000,516,140,376,0.710000,-0.250000,1.130000,-0.830000,99.840000,1.550000,3.920000,1.058000,0.389000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,30,2.000000,0.500000,NA,0.024400,0.085400,0.000000,28.960000,480,139,341,0.710000,-0.280000,1.130000,-0.830000,99.180000,1.440000,2.440000,1.041000,0.275000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,40,2.000000,0.500000,NA,0.043100,0.085500,0.000000,34.460000,383,132,251,0.720000,-0.350000,1.130000,-0.960000,94.530000,1.150000,4.310000,1.061000,0.381000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,2.000000,0.500000,NA,0.045000,0.092200,0.000000,38.720000,328,127,201,0.720000,-0.430000,1.130000,-1.070000,91.420000,0.980000,4.500000,1.064000,0.380000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,60,2.000000,0.500000,NA,0.035900,0.093100,0.000000,41.860000,301,126,175,0.710000,-0.490000,1.070000,-1.070000,89.850000,0.900000,3.590000,1.053000,0.312000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,75,2.000000,0.500000,NA,0.072400,0.087000,0.000000,47.670000,258,123,135,0.710000,-0.590000,1.070000,-1.070000,87.220000,0.770000,7.240000,1.101000,0.553000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,10,2.000000,0.500000,NA,-0.001700,0.084900,0.000000,14.790000,683,101,582,0.870000,-0.150000,1.130000,-0.810000,88.160000,2.050000,-0.170000,1.022000,0.138000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,15,2.000000,0.500000,NA,0.030300,0.065300,0.000000,18.090000,575,104,471,0.870000,-0.180000,1.130000,-0.830000,90.600000,1.730000,3.030000,1.055000,0.345000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,20,2.000000,0.500000,NA,0.044400,0.070700,0.000000,21.150000,487,103,384,0.870000,-0.220000,1.130000,-0.830000,89.720000,1.460000,4.440000,1.070000,0.421000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,25,2.000000,0.500000,NA,0.064600,0.068300,0.000000,24.070000,432,104,328,0.870000,-0.250000,1.130000,-0.830000,90.620000,1.300000,6.460000,1.094000,0.547000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,30,2.000000,0.500000,NA,0.045000,0.071800,0.000000,25.870000,402,104,298,0.870000,-0.280000,1.130000,-0.830000,90.610000,1.210000,4.500000,1.067000,0.401000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,40,2.000000,0.500000,NA,0.004600,0.082000,0.000000,29.150000,319,93,226,0.880000,-0.350000,1.130000,-0.960000,81.510000,0.960000,0.460000,1.018000,0.099000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,50,2.000000,0.500000,NA,-0.006700,0.114800,0.000000,32.140000,280,90,190,0.880000,-0.420000,1.130000,-0.960000,79.360000,0.840000,-0.670000,1.002000,0.012000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,60,2.000000,0.500000,NA,-0.019500,0.093300,0.000000,35.480000,248,88,160,0.870000,-0.490000,1.130000,-1.120000,76.480000,0.740000,-1.950000,0.984000,-0.083000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,75,2.000000,0.500000,NA,0.014100,0.083200,0.000000,40.590000,202,82,120,0.870000,-0.580000,1.130000,-0.960000,71.380000,0.610000,1.410000,1.029000,0.138000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,100,2.000000,0.500000,NA,-0.022200,0.106500,0.000000,45.510000,156,71,85,0.880000,-0.760000,1.380000,-1.340000,62.560000,0.470000,-2.220000,0.973000,-0.118000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,10,2.000000,0.500000,NA,-0.027200,0.105200,0.000000,12.300000,610,75,535,1.030000,-0.150000,1.620000,-0.810000,76.910000,1.830000,-2.720000,0.988000,-0.064000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,15,2.000000,0.500000,NA,-0.036900,0.091600,0.000000,14.590000,521,76,445,1.030000,-0.180000,1.620000,-0.830000,78.200000,1.560000,-3.690000,0.974000,-0.151000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20,2.000000,0.500000,NA,0.002000,0.090100,0.000000,17.820000,432,77,355,1.030000,-0.220000,1.310000,-0.830000,79.080000,1.300000,0.200000,1.019000,0.105000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,25,2.000000,0.500000,NA,0.012700,0.085700,0.000000,20.000000,375,75,300,1.030000,-0.250000,1.310000,-0.830000,77.160000,1.120000,1.270000,1.032000,0.166000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,30,2.000000,0.500000,NA,0.004600,0.084100,0.000000,21.870000,343,75,268,1.030000,-0.280000,1.310000,-0.830000,77.060000,1.030000,0.460000,1.020000,0.103000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,40,2.000000,0.500000,NA,0.014400,0.089800,0.000000,26.260000,278,73,205,1.030000,-0.350000,1.310000,-0.960000,75.020000,0.830000,1.440000,1.031000,0.156000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,50,2.000000,0.500000,NA,-0.007900,0.109900,0.000000,28.990000,238,69,169,1.030000,-0.420000,1.430000,-0.960000,71.250000,0.710000,-0.790000,0.999000,-0.005000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,60,2.000000,0.500000,NA,-0.028000,0.117400,0.000000,31.190000,218,68,150,1.040000,-0.490000,1.620000,-0.960000,70.660000,0.650000,-2.800000,0.970000,-0.146000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,75,2.000000,0.500000,NA,-0.015200,0.112000,0.000000,35.260000,173,61,112,1.050000,-0.580000,1.620000,-1.240000,64.140000,0.520000,-1.520000,0.985000,-0.068000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,100,2.000000,0.500000,NA,0.006400,0.107100,0.000000,42.310000,130,55,75,1.050000,-0.750000,1.380000,-1.340000,57.590000,0.390000,0.640000,1.018000,0.070000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,125,2.000000,0.500000,NA,-0.025100,0.124700,0.000000,45.790000,107,49,58,1.050000,-0.920000,1.430000,-1.270000,51.260000,0.320000,-2.510000,0.959000,-0.146000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,10,2.000000,0.500000,NA,-0.037800,0.108900,0.000000,10.660000,544,58,486,1.210000,-0.150000,1.620000,-0.810000,70.080000,1.630000,-3.780000,0.970000,-0.151000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,15,2.000000,0.500000,NA,-0.015500,0.084400,0.000000,13.150000,441,58,383,1.210000,-0.180000,1.620000,-0.830000,70.270000,1.320000,-1.550000,0.997000,-0.015000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,20,2.000000,0.500000,NA,-0.010300,0.084700,0.000000,15.510000,374,58,316,1.210000,-0.220000,1.620000,-0.830000,70.310000,1.120000,-1.030000,1.001000,0.007000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,25,2.000000,0.500000,NA,0.006400,0.088600,0.000000,17.800000,337,60,277,1.210000,-0.260000,1.620000,-0.830000,72.460000,1.010000,0.640000,1.023000,0.114000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,30,2.000000,0.500000,NA,-0.025000,0.097200,0.000000,18.850000,313,59,254,1.210000,-0.290000,1.620000,-0.830000,71.260000,0.940000,-2.500000,0.979000,-0.106000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,40,2.000000,0.500000,NA,-0.002800,0.088900,0.000000,23.080000,247,57,190,1.200000,-0.360000,1.620000,-0.960000,68.600000,0.740000,-0.280000,1.007000,0.031000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,50,2.000000,0.500000,NA,-0.017000,0.105500,0.000000,25.690000,218,56,162,1.210000,-0.420000,1.770000,-0.960000,67.610000,0.650000,-1.700000,0.985000,-0.070000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,60,2.000000,0.500000,NA,-0.030300,0.107400,0.000000,27.780000,180,50,130,1.210000,-0.480000,1.520000,-0.960000,60.400000,0.540000,-3.030000,0.960000,-0.167000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,75,2.000000,0.500000,NA,-0.006400,0.093000,0.000000,32.690000,156,51,105,1.210000,-0.590000,1.520000,-1.240000,61.580000,0.470000,-0.640000,0.997000,-0.011000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,100,2.000000,0.500000,NA,0.003000,0.095400,0.000000,38.660000,119,46,73,1.200000,-0.750000,1.420000,-1.340000,55.370000,0.360000,0.300000,1.012000,0.044000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,125,2.000000,0.500000,NA,-0.012800,0.103500,0.000000,42.720000,103,44,59,1.200000,-0.910000,1.400000,-1.340000,52.770000,0.310000,-1.280000,0.982000,-0.064000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,150,2.000000,0.500000,NA,-0.031200,0.123200,0.000000,46.590000,88,41,47,1.190000,-1.100000,1.400000,-1.690000,48.640000,0.260000,-3.120000,0.945000,-0.188000
5,005_trend_tema,AUD_USD,1h,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,10,2.000000,0.500000,NA,-0.021000,0.097600,0.000000,10.060000,487,49,438,1.340000,-0.150000,1.650000,-0.810000,65.880000,1.460000,-2.100000,0.990000,-0.045000
